,Unnamed: 0,id,age,assists,club,goals,handle,matches,minutes,minutes_per_goal,p_name,position,transfer_status,transfer_fee_pounds_int,year
2,4,121990,22,4,Arsenal FC,2,wellington-silva,22,1.21,605,Wellington Silva,Forward,in,1280000,2014
3,5,251912,21,0,Arsenal FC,0,semi-ajayi,0,0,0,Semi Ajayi,Back,in,0,2014
4,6,191217,19,1,Arsenal FC,0,hector-bellerin,11,990,0,Héctor Bellerín,Back,in,425000,2014
5,7,127194,22,1,Arsenal FC,0,yaya-sanogo,11,990,0,Yaya Sanogo,Forward,in,1280000,2014
6,8,197642,19,1,Arsenal FC,3,chuba-akpom,2,180,60,Chuba Akpom,Forward,in,850000,2014
7,9,34561,27,0,Arsenal FC,0,johan-djourou,6,540,0,Johan Djourou,Back,in,2550000,2014
8,10,121990,21,4,Arsenal FC,2,wellington-silva,22,1.21,605,Wellington Silva,Forward,in,340000,2014
9,11,131248,22,1,Arsenal FC,3,joel-campbell,6,286,95,Joel Campbell,Forward,in,4250000,2014
10,12,74869,23,0,Arsenal FC,0,francis-coquelin,9,658,0,Francis Coquelin,Midfield,in,2550000,2014
11,13,15904,28,0,Arsenal FC,0,thomas-vermaelen,2,180,0,Thomas Vermaelen,Back,out,11900000,2014
12,14,34561,27,0,Arsenal FC,0,johan-djourou,6,540,0,Johan Djourou,Back,out,2550000,2014
13,15,70245,21,0,Arsenal FC,1,ignasi-miquel,12,1.078,1.078,Ignasi Miquel,Back,out,340000,2014
14,16,86643,21,2,Arsenal FC,1,thomas-eisfeld,10,847,847,Thomas Eisfeld,Midfield,out,255000,2014
15,17,26764,31,1,Arsenal FC,0,bacary-sagna,4,348,0,Bacary Sagna,Back,out,10200000,2014
16,18,34557,26,1,Arsenal FC,1,nicklas-bendtner,6,235,235,Nicklas Bendtner,Forward,out,3400000,2014
17,19,121990,21,4,Arsenal FC,2,wellington-silva,22,1.21,605,Wellington Silva,Forward,out,340000,2014
18,20,126321,22,0,Arsenal FC,0,carl-jenkinson,1,90,0,Carl Jenkinson,Back,out,5100000,2014
